movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
Harold and Maude,1971,Hal Ashby,-52,Bud Cort,man,1948-03-29,23,Ruth Gordon,woman,1896-10-30,75,FALSE
Beginners,2010,Mike Mills,43,Christopher Plummer,man,1929-12-13,81,Goran Visnjic,man,1972-09-09,38,TRUE
Poison Ivy,1992,Katt Shea,42,Tom Skerritt,man,1933-08-25,59,Drew Barrymore,woman,1975-02-22,17,FALSE
Whatever Works,2009,Woody Allen,40,Larry David,man,1947-07-02,62,Evan Rachel Wood,woman,1987-09-07,22,FALSE
Entrapment,1999,Jon Amiel,39,Sean Connery,man,1930-08-25,69,Catherine Zeta-Jones,woman,1969-09-25,30,FALSE
Husbands and Wives,1992,Woody Allen,38,Woody Allen,man,1935-12-01,57,Juliette Lewis,woman,1973-06-21,19,FALSE
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,William Powell,man,1892-06-29,56,Ann Blyth,woman,1928-08-16,20,FALSE
First Knight,1995,Jerry Zucker,35,Sean Connery,man,1930-08-25,65,Julia Ormond,woman,1965-01-04,30,FALSE
Something's Gotta Give,2003,Nancy Meyers,35,Jack Nicholson,man,1937-04-22,66,Amanda Peet,woman,1972-01-11,31,FALSE
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,Tom Wilkinson,man,1948-02-05,56,Kirsten Dunst,woman,1982-04-30,22,FALSE
Lost in Translation,2003,Sofia Coppola,34,Bill Murray,man,1950-09-21,53,Scarlett Johansson,woman,1984-11-22,19,FALSE
Shopgirl,2005,Anand Tucker,34,Steve Martin,man,1945-08-14,60,Claire Danes,woman,1979-04-12,26,FALSE
Wild Target,2010,Jonathan Lynn,34,Bill Nighy,man,1949-12-12,61,Emily Blunt,woman,1983-02-23,27,FALSE
"Fort Apache, The Bronx",1981,Daniel Petrie,33,Paul Newman,man,1925-01-26,56,Rachel Ticotin,woman,1958-11-01,23,FALSE
Hollywood Ending,2002,Woody Allen,33,Woody Allen,man,1935-12-01,67,Debra Messing,woman,1968-08-15,34,FALSE
Mighty Aphrodite,1995,Woody Allen,32,Woody Allen,man,1935-12-01,60,Mira Sorvino,woman,1967-09-28,28,FALSE
Stone,2010,John Curran,32,Robert De Niro,man,1943-08-18,67,Milla Jovovich,woman,1975-12-17,35,FALSE
Third Person,2013,Paul Haggis,32,Liam Neeson,man,1952-06-07,61,Olivia Wilde,woman,1984-03-10,29,FALSE
Elegy,2008,Isabel Coixet,31,Ben Kingsley,man,1943-12-31,65,Penelope Cruz,woman,1974-04-28,34,FALSE
Mighty Aphrodite,1995,Woody Allen,31,Woody Allen,man,1935-12-01,60,Helena Bonham Carter,woman,1966-05-26,29,FALSE
A View to a Kill,1985,John Glen,30,Roger Moore,man,1927-10-14,58,Mary Stavin,woman,1957-08-20,28,FALSE
For Your Eyes Only,1981,John Glen,30,Roger Moore,man,1927-10-14,54,Carole Bouquet,woman,1957-08-18,24,FALSE
Funny Face,1957,Stanley Donen,30,Fred Astaire,man,1899-05-10,58,Audrey Hepburn,woman,1929-05-04,28,FALSE
Kindergarten Cop 2,2016,Don Michael Paul,30,Dolph Lundgren,man,1957-11-03,59,Darla Taylor,woman,1987-01-31,29,FALSE
Sabrina,1954,Billy Wilder,30,Humphrey Bogart,man,1899-12-25,55,Audrey Hepburn,woman,1929-05-04,25,FALSE
A Single Man,2009,Tom Ford,29,Colin Firth,man,1960-09-10,49,Nicholas Hoult,man,1989-12-07,20,TRUE
A View to a Kill,1985,John Glen,29,Roger Moore,man,1927-10-14,58,Fiona Fullerton,woman,1956-10-10,29,FALSE
Arbitrage,2012,Nicholas Jarecki,29,Richard Gere,man,1949-08-31,63,Laetitia Casta,woman,1978-05-11,34,FALSE
Bulworth,1998,Warren Beatty,29,Warren Beatty,man,1937-03-30,61,Halle Berry,woman,1966-08-14,32,FALSE
Sense and Sensibility,1995,Ang Lee,29,Alan Rickman,man,1946-02-21,49,Kate Winslet,woman,1975-10-05,20,FALSE
